Descripcion;IdArticu;StockActual;FechaUltimaEntrada;FechaCaducidad;Puc;Pmc;Pvp;ProveedorHabitual;Laboratorio
XEBEVIR 30 CAPS;300017;0;NULL;NULL;16.32;16.32;0; ; 
EMOLIENTA LABIOS 15 ML;300061;1;2023-08-11 00:00:00.000;NULL;5.08586;5.09;6.95; ;P0599
MARTIDERM DRIOSEC AXILAS INGLES ROLL-ON 50 ML;300103;3;2023-09-13 00:00:00.000;2025-09-01 00:00:00.000;7.188352;7.19;10.95; ;P0059
MARTIDERM DRIOSEC GEL MANOS Y PIES ANTITRANSPIRA;300111;4;2023-04-24 00:00:00.000;2024-05-01 00:00:00.000;8.4806;8.48;12.95; ;P0059
NUTRIBEN 5 CEREALES 300 G;300202;0;2019-04-05 00:00:00.000;NULL;0;0;2.95; ;P0882
DEPRESORES MADERA ADU 100 U;300236;1;2023-10-24 00:00:00.000;2029-07-01 00:00:00.000;5.03538;5.04;7.35; ;P0974
COREGA EXTRA FORTE CREMA  75 ML;300293;8;2023-07-18 00:00:00.000;2026-04-01 00:00:00.000;9.0470168;9.14;13.5; ;P0071
PENDIENTE DE ASIGNACIÓN;300310;0;NULL;NULL;0;0;0; ; 
RHINOMER BREATHE RIGHT TIRA NASAL T-GDE 30 U;300319;18;2023-05-17 00:00:00.000;2026-06-01 00:00:00.000;15.986;16.13;25.95; ;P1521
MALENA GEL VAGINAL MONODOSIS 5 ML 8 APLICADORES;300330;0;2016-02-24 00:00:00.000;NULL;10.1243;10.12;15.15; ;P2150
CALENDUFLORBABY CREMA 50 G;300333;0;2021-06-12 00:00:00.000;NULL;10.36102;10.36;10.25; ;P0396
SIKEN FORM DIURIDREN 14 G 14 SOBRES;300360;0;NULL;NULL;0;0;0; ;P0186
AVENE COUVRANCE POLVOS MOSAICO TRASLUCIDOS 9 G;300363;3;2023-10-25 00:00:00.000;2025-05-01 00:00:00.000;17.00545;17.01;24.5; ;P0147
PASTILLAS JUANOLA REDONDA GDE;300364;43;2023-09-22 00:00:00.000;2027-05-01 00:00:00.000;3.885075;3.88;5.95; ;P0034
PASTILLAS JUANOLA PEQ 100 U;300365;74;2023-09-22 00:00:00.000;2024-04-01 00:00:00.000;1.398627;0.32;2.1; ;P0034
ENDOCARE LOCION 100 ML;300434;0;2023-07-27 00:00:00.000;NULL;31.95384;31.95;37.95; ;P0276
BIODERMA NODE DS+ CHAMPU A/CASPA 125ML;300479;3;2022-05-13 00:00:00.000;2024-04-01 00:00:00.000;9.6732;9.67;14.5; ;P0830
CARICOL 21 ML 20 SOB -CIENPORCIENNATURAL-;300488;0;2023-11-07 00:00:00.000;NULL;18.9491;18.95;24.95;0032;P0409
CHUPETE TETINA SILICONA ANATOMICA SUAVINEX EVOLU;300509;8;2023-09-19 00:00:00.000;NULL;4.2908;4.29;6.5; ;P0815
MUSSVITAL GEL GLICERINA 750 ML;300533;0;2015-08-07 00:00:00.000;NULL;3.0163;3.02;4.3; ;P0353
STOP PIOJOS LOCION 100ML;300583;0;NULL;NULL;0;0;0; ; 
PARA PLUS AEROSOL 135 ML;300590;0;2017-03-23 00:00:00.000;NULL;6.5454;6.31;13.95; ;P0883
TOLERIANE DESMAQUILLANTE  OJOS 5/30 ML;300632;0;2023-06-01 00:00:00.000;NULL;14.3868;14.39;21.5; ;P0508
PINZA IRIS RECTA C/D 11 REF.662 ANOTA;300704;0;2017-07-10 00:00:00.000;NULL;7.2691;7.27;10.95;0115;E5136
CHUPETE TETINA SILICONA ANATOMICA SUAVINEX EVOLU;300798;4;2021-10-19 00:00:00.000;NULL;3.614368;3.67;5.5; ;P0815
MUSSVITAL GEL ALOE VERA 750 ML;300806;0;2013-12-22 00:00:00.000;NULL;2.8637;2.86;3.5; ;P8020
INTERPROX CEP DENT MINI;300830;11;2023-01-04 00:00:00.000;2026-11-01 00:00:00.000;4.124216;4.12;5.95; ;P0734
INTERPROX CEP DENT CONICO;300848;14;2023-09-11 00:00:00.000;NULL;4.1722;4.17;6.25; ;P0734
INTERPROX CEP DENT CILINDRICO;300855;4;2023-01-16 00:00:00.000;NULL;4.1242;4.12;5.95; ;P0734
COMODYNES BARDANA 20 TOALLITAS;300871;0;2022-04-16 00:00:00.000;NULL;2.3675;2.34;3.75;0006;P0727
AUDISPRAY JUNIOR 25 ML;300905;5;2023-03-20 00:00:00.000;2024-12-01 00:00:00.000;6.209;6.32;9.5; ;P0365
BALSAMO BEBE CREMA 50 ML;300962;0;2015-05-25 00:00:00.000;NULL;3.4358;3.64;9.5; ;P0071
SALVIA ARKOCAPSULAS 220 MG 45 CAPSULAS;301135;0;2022-03-28 00:00:00.000;NULL;7.0884;7.09;9.5;0001;P1016
PAVOLINA ARKOCAPSULAS 140 MG 50 CAPSULAS;301150;0;2017-12-15 00:00:00.000;NULL;4.6521;4.65;8.45;0001;P1016
ARKOCAPSULAS PAPAYA 50;301168;0;2018-08-02 00:00:00.000;NULL;6.1;5.78;8.92;0001;P1016
PLANTAGO ARKOCAPSULAS 300 MG 48 CAPSULAS;301176;0;2019-01-09 00:00:00.000;NULL;5.5032;4.52;8.92;0001;P1016
ARKOCAPSULAS ANANAS 50;301234;0;2018-09-11 00:00:00.000;NULL;6.17;5.54;8.71;0001;P1016
AJO ARKOCAPSULAS 330 MG 50 CAPSULAS;301267;2;2023-02-10 00:00:00.000;2025-06-01 00:00:00.000;5.8478;5.55;9.75;0001;P1016
FRIKTON CHAMPU 500 CC;301309;1;2022-11-20 00:00:00.000;NULL;12.3171;12.32;17.95; ;P0793
NUTRIBEN POLLO TERNERA A LA CASERA POTITO GRANDO;301358;0;NULL;NULL;0;0;1.35; ;P0882
NUTRAISDIN CREMA DEL PAÑAL 100 ML;301366;0;2016-10-10 00:00:00.000;NULL;6.3964;6.4;9.6; ;P0666
MEDIA LARGA (A-F) COMP LIGERA FARMALASTIC BLONDA;301382;0;2015-06-10 00:00:00.000;NULL;9.0334;9.03;12.95; ;P0111
MEDIA LARGA (A-F) COMP LIGERA FARMALASTIC BLONDA;301390;0;2018-09-18 00:00:00.000;NULL;9.1237;9.32;13.32; ;P0111
TROFOLASTIN POST-PARTO 125 ML;301440;4;2023-10-15 00:00:00.000;2025-05-01 00:00:00.000;18.849232;19.69;28.5; ;P0805
ARKOCAPS ACEITE ONAGRA 100CAPS;301465;1;2023-11-09 00:00:00.000;2024-05-01 00:00:00.000;12.20944;12.21;17.5;0001;P1016
HIALDERM EMULSION CORPORAL 500 ML;301608;0;2020-05-18 00:00:00.000;NULL;18.8038;18.8;26.95; ;P0022
CARMEX BALSAMO LABIAL BARRA CLICK STICK;301609;16;2023-11-14 00:00:00.000;NULL;3.132284;3.14;5.95; ;P1504
TAPONES OIDOS PRIM 6 UNDES.;301911;1;2023-10-10 00:00:00.000;NULL;5.09848;5.1;7.5;0001;P0924
KLORANE LOCION QUININA;301937;0;2018-02-23 00:00:00.000;NULL;10.8374;10.78;17.95;0144;P0147
BOIRON HOMEODENT FRUTAS GEL;301952;0;2016-11-11 00:00:00.000;NULL;4.09;0;4.95; ;P0858
MEDIA LARGA (A-F) COMP LIGERA FARMALASTIC BLONDA;302018;0;2021-02-19 00:00:00.000;NULL;9.12366;9.12;13.06; ;P0111
MEDIA LARGA (A-F) COMP LIGERA FARMALASTIC BLONDA;302026;0;2021-05-07 00:00:00.000;NULL;9.12366;9.12;13.32; ;P0111
MEDIA LARGA (A-F) COMP LIGERA FARMALASTIC BLONDA;302042;0;2019-07-22 00:00:00.000;NULL;9.6361;9.64;13.95; ;P0111
GUANTES ALGODON GENOVE DERMATOLOGICO T- GDE;302059;1;2023-03-08 00:00:00.000;NULL;5.52756;5.53;7.95; ;P0227
MEDIA LARGA (A-F) COMP NORMAL FARMALASTIC BLONDA;302083;0;2020-12-04 00:00:00.000;NULL;14.74;14.74;21.58; ;P0111
MEDIA LARGA (A-F) COMP NORMAL FARMALASTIC BLONDA;302091;0;2022-11-26 00:00:00.000;NULL;14.7382;14.74;21.58; ;P0111
MEDIA LARGA (A-F) COMP NORMAL FARMALASTIC BLONDA;302109;0;2021-11-06 00:00:00.000;NULL;14.73822;14.74;20.6; ;P0111
MEDIA LARGA CON SILICONA BLONDA (A-F) COMPRESION;302117;0;NULL;NULL;0;0;0; ;P0111
ACCU-CHEK MULTICLIX 100+2 LANCET;302155;0;2016-11-02 00:00:00.000;NULL;13.9308;13.93;20.15; ;P1856
ACCU-CHEK MULTICLIX LANCETAS 24 LANCETAS;302156;0;2018-09-11 00:00:00.000;NULL;7.4415;7.66;11.39; ;P1856
ACCU-CHEK MULTICLIX LANCETAS Y PINCHADOR 2 CARTU;302157;0;NULL;NULL;0;0;0; ;P1856
TENA PANTS PLUS LARG 100-135 CM;302273;2;2023-11-17 00:00:00.000;NULL;11.3628;11.36;19.95; ;P0937
SKINCEUTICALS SILYMARIN CF 30 ML;302330;3;2023-07-12 00:00:00.000;NULL;99.57931521;103.07;157; ;P0510
SKINCEUTICALS CE FERULIC TTO TRIPLE ANTIOX. 30ML;302332;8;2023-11-16 00:00:00.000;NULL;104.8217;104.82;157.95; ;P0510
SKINCEUTICALS HIDRATING B5 FLUIDO PONTENCIAD. 30;302333;3;2023-05-26 00:00:00.000;NULL;50.2308;50.23;77.95; ;P0510
SKINCEUTICALS RETINOL 0.3 TTO NOCHE ALISANTE 30;302334;2;2023-01-26 00:00:00.000;NULL;56.54;56.54;87.7; ;P0510
PURELAN 100 37 G MEDELA;302339;1;2023-04-20 00:00:00.000;2025-05-01 00:00:00.000;10.5932;10.77;15.15; ;P0423
GERMISDIN HIGIENE INT 20 TOALLITAS;302398;0;2019-02-05 00:00:00.000;NULL;4.1979;4.22;6.5; ;P0666
ABSORB INC ORINA LIGERA TENA LADY MINI MAGIC 34;302459;0;2015-07-25 00:00:00.000;NULL;3.2953;3.3;4.21; ;P0937
STERI STRIP 6/100 MM R 1546F;302505;0;2023-04-21 00:00:00.000;NULL;3.79874;3.8;5.75; ;P0751
STERI STRIP 6/38 MM R 1542F;302513;5;2023-09-18 00:00:00.000;2026-03-01 00:00:00.000;3.5871;3.61;5.5; ;P0751
TRANSPORE ESPARAD 5/2'5;302554;2;2023-11-10 00:00:00.000;2028-02-01 00:00:00.000;4.33346;4.33;6.5;0231;P0751
MASCARILLA ASEPTEX R 1800-F 5 U FFP1;302588;0;2020-05-01 00:00:00.000;NULL;8.08942;8.09;10.95; ;P0751
CHUPETE TODOGOMA T.ANAT. SUAVINEX 0-6M;302646;0;2015-03-26 00:00:00.000;NULL;2.524;2.52;3.95; ;P0815
CHUPETE TODOGOMA TET.  REDONDA +6M SUAVINEX;302653;0;2023-11-05 00:00:00.000;NULL;4.1015;4.1;5.95; ;P0815
CHUPETE SUAVINEX T ANATOMICA 0- 6 M;302679;4;2023-09-19 00:00:00.000;NULL;5.3004;4.84;7.95; ;P0815
CHUPETE SUAVINEX A/ROCE +6M;302687;0;2016-01-24 00:00:00.000;NULL;3.0636;2.61;3.5; ;P0815
CHUPETE SUAVINEX A/ROCE LAT 0-6M;302711;0;2015-11-30 00:00:00.000;NULL;3.0636;3.06;4.25; ;P0815
TANIT PLUS 15 ML;302752;0;2023-10-11 00:00:00.000;NULL;14.9547;14.95;21.95; ;P0599
CHUPETE  FUSION T. ANAT SILICONA 4-18 M +BROCHE;302890;0;2016-06-17 00:00:00.000;NULL;5.3408;5.34;8.5; ; 
ESPONJA SUAVINEX NATURAL GDE;302927;5;2023-05-02 00:00:00.000;NULL;4.0283;4.05;5.95; ;P0815
LEPHADOSIS TOALLITAS ESTERILES 30 U;302943;0;2017-04-05 00:00:00.000;NULL;11.4314;11.45;16.75; ;P0788
STERILISER SUAVINEX  RECIPIENTE PARA ESTERILIZAD;302950;0;2016-04-14 00:00:00.000;NULL;15.6791;15.68;25.95; ;P0815
ACGLICOLIC 20 2 ML 5 AMPOLLAS;302984;0;2015-12-11 00:00:00.000;NULL;17.2263;17.23;30.95; ;P0526
ACGLICOLIC 20 CREMA GEL HIDRATANTE 50 ML;303099;1;2023-10-26 00:00:00.000;2024-05-01 00:00:00.000;27.9028;27.9;42.95; ;P0526
ACGLICOLIC 20 GEL HIDRATANTE 50 ML;303198;0;2019-04-26 00:00:00.000;NULL;25.71;25.71;42.95; ;P0526
NESTLE PAPILLA CEREALES SIN GLUTEN LISTA PARA TO;303214;0;2017-01-13 00:00:00.000;NULL;1.89;1.89;2.5; ;P0420
ENDOCARE AMPOLLAS 1 ML 7 AMPOLLAS+7 GRATIS;303321;0;2017-06-06 00:00:00.000;NULL;17.9357;17.94;28.95; ;P0276
ACGLICOLIC 20 CREMA NUTRITIVA 50 ML;303388;0;2022-09-23 00:00:00.000;NULL;34.2759;34.48;46.95; ;P0526
BYLY DESOD CREMA 30 ML;303453;0;2023-08-04 00:00:00.000;NULL;3.96268;3.96;6.1; ;P0097
CHUPETE SUAVINEX WHITE ANAT DE 0 A 6;303519;0;2017-03-15 00:00:00.000;NULL;2.6714;2.67;4.25; ;P0815
CHUPETE SUAVINEX TET ANATOMICA SIL 0-6;303520;0;2017-03-15 00:00:00.000;NULL;3.0212;3.02;4.95; ;P0815
CHUPETE SUAVINEZX WHITE TETINA ANAT LATEX 6 - 18;303521;0;2017-03-15 00:00:00.000;NULL;2.6714;2.67;4.25; ;P0815
CHUPETE SUAVINEX WHITE TET ANAT SIL 6-18;303522;0;2017-03-15 00:00:00.000;NULL;3.0212;3.02;4.95; ;P0815
CHUPETE SUAVIBNEX WHITE ANAT LATEX 6-18 + BROCHE;303523;0;2017-03-15 00:00:00.000;NULL;5.3852;5.39;8.5; ; 
CHUPETE SUAVINEX SILC 6-18 + BROCHE;303524;0;2017-03-15 00:00:00.000;NULL;5.7563;5.76;8.95; ;P0815
SUAVINEX BROCHE CORAZON;303525;0;2017-03-15 00:00:00.000;NULL;3.2227;3.22;5.25; ;P0815
HOMEODENT PROTECCION INTEGRAL ANIS 75 ML;303529;0;2018-08-14 00:00:00.000;NULL;4.65;4.65;6.9; ;P0858
SUAVINEX WHITE CHUPETE LATEX 0 A 6 ED SPECCIAL;303533;0;2017-03-15 00:00:00.000;NULL;13.2762;13.28;20.5; ;P0815
CHUPETE SUAVINEX SILI ANAT 0-6 PACK SPECIAL;303534;0;2017-03-15 00:00:00.000;NULL;13.2762;13.28;20.5; ;P0815
ROSA MOSQUETA VALPHARMA ACEITE 20 CC;303566;0;2015-10-09 00:00:00.000;NULL;4.7325;4.73;9.95;0021;P0388
BIBERON SUAVINEX WHITE SILC + O MESES 270 CC;303652;0;2017-03-15 00:00:00.000;NULL;6.0636;6.06;9.5; ;P0815
BIODERMA HYDRABIO CREMA EXFOLIANTE 75 ML;303660;0;2017-02-27 00:00:00.000;NULL;13.045;13.05;22.95; ;P0830
BIODERMA SEBIUM MATIFICANTE  40 ML;303664;0;2016-01-12 00:00:00.000;NULL;12.3508;12.34;20.5; ;P0830
ENDOCARE DAY SPF30 40 ML;303665;2;2023-11-10 00:00:00.000;NULL;23.846752;23.25;35.95; ;P0276
NEOSTRATA BIONICA CONT OJOS 15ML;303666;0;2020-07-20 00:00:00.000;NULL;24.95;24.95;38.95; ;P0276
PROTECTOR JUANETES HALLUX VALGUS FARMALASTIC GEL;303667;0;2021-11-03 00:00:00.000;NULL;9.8625;9.86;16.95; ;P0111
PROTECTOR JUANETES HALLUX VALGUS FARMALASTIC GEL;303668;2;2022-03-21 00:00:00.000;NULL;13.9451;13.95;18.95; ;P0111
LEVADURA CERVEZA GER TRIGO LEO;303685;7;2023-05-05 00:00:00.000;2024-05-01 00:00:00.000;5.1133;5.45;9.95; ;P0034
GINSENG LEO 60 GRAG;303701;4;2023-09-22 00:00:00.000;2024-03-01 00:00:00.000;9.1702;1.31;22.95; ;P0034
JUST FOR MEN CASTAÑO OSCURO;303727;1;2020-02-14 00:00:00.000;2024-05-01 00:00:00.000;5.5881;5.58;8.75; ;P0789
JUST FOR MEN CASTAÑO CLARO;303735;1;2023-10-26 00:00:00.000;NULL;6.34786;6.35;8.75; ;P0789
JUST FOR MEN MORENO NATURAL;303743;1;2023-11-08 00:00:00.000;NULL;6.34786;6.35;9.95;0001;P0789
JUST FOR MEN NEGRO;303750;0;2018-11-07 00:00:00.000;NULL;6.1207;6.12;8.32; ;P0789
NESTLE PAPILLA MULTIFRUTAS LISTA TOMAR 2X250ML;303768;0;2018-08-29 00:00:00.000;NULL;1.8938;1.89;2.5; ;P0420
ACGLICOLIC 20 CREMA HIDRATANTE SPF 15 50 ML;303784;0;2020-01-10 00:00:00.000;NULL;34.27592;34.28;46.95; ;P0526
TRICONAILS CREMA DE UÑAS 3%UREA COSMECLINIK TUBO;303925;0;2021-04-26 00:00:00.000;NULL;19.7503;19.75;26.95; ;P0149
CHUPETE TODOGOMA 0 - 6 M SUAVINEX TET. REDONDA;303933;1;2023-11-05 00:00:00.000;NULL;3.9122;3.91;5.4; ;P0815
NESTLE PAPILLA PIJAMA CON MIEL LISTA TOMAR 2X250;303974;0;2019-04-08 00:00:00.000;NULL;1.86;1.86;2.5; ;P0420
TERMOMETRO BAÑO INFANTIL SUAVINEX;303990;7;2023-09-19 00:00:00.000;NULL;4.2297192;4.23;6.5; ;P0815
SUAVINEX PERA ASPIRADOR NASAL;304006;4;2023-09-19 00:00:00.000;NULL;3.9010944;3.9;5.85; ;P0815
TIJERA BEBE SUAVINEX;304014;5;2023-09-19 00:00:00.000;NULL;4.2615216;4.26;6.4; ;P0815
PEZONERA SUAVINEX SILICONA 2 U;304105;0;2019-09-27 00:00:00.000;NULL;4.8975696;4.9;7.75; ;P0815
NESTLE PLATANO NARANJA GALLETA 250 G;304139;0;2020-01-07 00:00:00.000;NULL;0.85778;0.86;1.2; ;P0420
ACGLICOLIC S GEL HIDRATANTE NO GRASO 50 ML;304147;0;2016-01-18 00:00:00.000;NULL;24.609;24.96;42.95; ;P0526
NUK FUNDAS BIBERON 240 ML;304243;0;2013-09-10 00:00:00.000;NULL;5.4689;5.47;8.5; ;E0054
AVENE AGUA THERMAL PIEL SENSIBLE 150 ML;304394;7;2023-09-20 00:00:00.000;NULL;6.224184;6.22;9.25; ;P0147
AVENE AKERAT 10 CREMA CORPORAL  10% UREA 200 ML;304402;0;2019-08-14 00:00:00.000;NULL;17.13796;17.14;24.43; ;P0147
AVENE CREMA TOLERANCE CONTROL 40 ML;304410;4;2023-09-20 00:00:00.000;2025-07-01 00:00:00.000;17.588494;17.59;26.5; ;P0147
SALVELOX APOSITO ADHESIVO TEXTIL 1 M X 6 CM;304451;0;2017-09-08 00:00:00.000;NULL;2.306;2.31;3.95; ;P0692
PROTECTOR JUANETES HALLUX VALGUS FARMALASTIC GEL;304470;0;2019-04-12 00:00:00.000;NULL;13.9451;11.9;19.95; ;P0111
ALMOHADILLA PLANTAR FARMALASTIC GEL DE SILICONA;304475;0;2023-07-18 00:00:00.000;NULL;11.8812;11.88;21.95; ;P0111
ALMOHADILLA PLANTAR FARMALASTIC GEL DE SILICONA;304476;0;2023-06-05 00:00:00.000;NULL;14.4499;14.45;22.95; ;P0111
ALMOHADILLA PLANTAR FARMALASTIC GEL DE SILICONA;304478;0;2019-07-05 00:00:00.000;NULL;16.2798;16.28;22.95; ;P0111
PROTECTOR TUBULAR DEDOS FARMALASTIC GEL DE SILIC;304479;0;2019-09-26 00:00:00.000;NULL;5.43632;5.44;7.9; ;P0111
LACTACYD INTIMO TOALLITAS 10 U;304527;2;2023-11-01 00:00:00.000;2026-01-01 00:00:00.000;3.38216;3.38;5.95; ;P0883
FLUOR KIN INFANTIL DOSIFICADOR PASTA 100 ML;304535;1;2022-12-07 00:00:00.000;2024-05-01 00:00:00.000;3.63456;3.63;5.95; ;P0309
PENDIENTE DE ASIGNACIÓN;304552;0;NULL;NULL;0;0;0; ; 
CONTROL ADAPTA NATURE 24 U;304683;0;2020-10-27 00:00:00.000;NULL;7.251;7.25;11.25; ;P0972
CONTROL ADAPTA XL 12 U;304758;0;2020-10-19 00:00:00.000;NULL;4.2212245;4.5;6.95; ;P0972
HOMEODENT PROTECCION INTEGRAL LIMON 75 ML;304899;1;2023-11-15 00:00:00.000;2025-05-31 00:00:00.000;5.31302;5.31;7;0001;P0858
BINARVAL PLUS 760 MG 60 CAPSULAS;304931;0;NULL;NULL;0;0;0; ;P0288
NESTLE IOGOLINO FRESA 100 G 4 U;304949;0;2018-06-28 00:00:00.000;NULL;1.84;1.83;2.5; ;P0420
NESTLE IOGOLINO MINI 60 G 6 TARRINAS PLATANO;304980;0;2022-05-18 00:00:00.000;NULL;1.95;1.98;2.1; ;P0420
PROTECTOR TUBULAR DEDOS FARMALASTIC GEL DE SILIC;305090;4;2023-07-24 00:00:00.000;NULL;4.0772;4.08;7.95; ;P0111
PROTECTOR TUBULAR DEDOS FARMALASTIC GEL DE SILIC;305091;0;2017-12-29 00:00:00.000;NULL;4.0772;4.08;7.95; ;P0111
DEDIL FARMALASTIC GEL DE SILICONA 23 MM;305092;3;2023-07-24 00:00:00.000;NULL;4.6189;5.25;8.5; ;P0111
DEDIL FARMALASTIC GEL DE SILICONA 26 MM;305093;2;2021-06-07 00:00:00.000;NULL;4.6189;4.89;8.95; ;P0111
DEDIL FARMALASTIC GEL DE SILICONA 36 MM;305095;3;2022-07-08 00:00:00.000;NULL;4.9268;4.93;9.5; ;P0111
PANTY CABALLERO COMP NORMAL FARMALASTIC T- MED;305102;0;2022-11-16 00:00:00.000;NULL;18.2362;18.24;23.82; ;P0111
AVENE AKERAT 30  100 ML;305156;0;2019-10-19 00:00:00.000;NULL;10.13386;10.13;13.5; ;P0147
AQUALIA THERMAL SERUM CONCENTRADO HIDRATACION ES;305172;2;2023-01-31 00:00:00.000;2024-05-01 00:00:00.000;19.6746;19.67;29.95; ;P0124
AQUALIA THERMAL C LIGERA P SENSIBLE HIDRATACION;305173;0;2020-01-08 00:00:00.000;NULL;8.79;8.88;14.5; ;P0124
AQUALIA THERMAL LIGERA TAR 50 ML;305174;1;2023-10-31 00:00:00.000;2026-07-01 00:00:00.000;16.2546;16.25;24.5; ;P0124
AQUALIA THERMAL C RICA P SENSIBLE HIDRATACION CO;305175;0;2020-01-08 00:00:00.000;NULL;8.79;8.88;14.5; ;P0124
AQUALIA THERMAL RICA TAR 50 ML;305176;1;2023-05-03 00:00:00.000;2025-12-01 00:00:00.000;16.2546;16.25;24.5; ;P0124
DERCOS CHAMPU TRATANTE SEBO CORRECTOR 200 ML;305185;1;2023-06-01 00:00:00.000;NULL;8.1147;8.11;11.95; ;P0124
ESTROMINERAL SERENA 30 COMP;305202;0;2021-02-10 00:00:00.000;NULL;13.56;13.56;19.5; ;P1011
INSECTDHU GEL 20 G;305239;0;2023-10-08 00:00:00.000;NULL;12.39284;12.39;15.6;0032;P0396
INSECTDHU ROLL-ON 10 ML;305240;1;2023-09-19 00:00:00.000;NULL;13.4782;13.48;16.95;0032;P0396
GLICARE GEL CONTORNO OJOS LABIOS+C-VIT OJOS KIT;305245;0;2020-10-17 00:00:00.000;NULL;16.4028;16.4;25.5; ;P0526
SCURFISIN CHAMPU ANTISEBORREICO 25O ML;305276;1;2020-03-30 00:00:00.000;2025-03-01 00:00:00.000;12.6831;12.68;18.52; ;P0060
SCURFISIN CHAMPU ESTADOS DESCAMATIVOS 25O ML;305284;0;2017-01-26 00:00:00.000;NULL;12.6825;12.68;18.95; ;P0060
TROFOLASTIN REDEFINE CORPORAL E CARRERAS 200 ML;305305;0;2018-12-15 00:00:00.000;NULL;19.7251;19.73;25.95; ;P0805
STYLE PASTA MOLDEADORA RENE FURTERER 75 ML;305353;1;2021-07-14 00:00:00.000;NULL;11.316;11.32;17.5; ;P0147
CASENBIOTIC 10 COMP.;305355;0;2022-02-11 00:00:00.000;NULL;8.0876;8.09;14.95; ;P0795
GUM PERIOBALANCE 30 TABLETAS;305356;0;2023-08-14 00:00:00.000;NULL;12.811;12.81;18.95; ;P0587
VICHY HOMME SENSI BAUME AFTER SHAVE 75ML;305358;3;2023-10-31 00:00:00.000;NULL;13.6296;13.45;20.25; ;P0124
NESTLE POSTRE LACTEO CHOCOLATE 100 G 4 U;305458;0;2016-11-10 00:00:00.000;NULL;1.8381;1.84;2.5; ;P0420
VICHY HOMME HYDRA MAG C+ 50 ML;305542;3;2023-03-13 00:00:00.000;NULL;15.6488;15.67;23.95; ;P0124
VICHY HOMME STRUCTURE S TTO REAF.-HIDRA 50 ML;305543;0;2019-03-29 00:00:00.000;NULL;18.1854;18.19;27.95; ;P0124
DRENAQUA CUMLAUDE 30 CAPS;305548;0;2022-09-21 00:00:00.000;NULL;13.5787;13.58;19.95;0099;P0727
SUAVINEX TERMO PARA LIQUIDOS;305579;0;2019-01-29 00:00:00.000;NULL;13.781;13.78;21.95; ;P0815
NATURIA CHAMPU EXTRA SUAVE RENE FURTERER 1 ENVAS;305599;0;2022-07-27 00:00:00.000;NULL;9.8436;9.84;14.95; ;P0147
CHUPETE SUAVINEX BASIC TET ANAT 0-6 SILIC SP OCC;305665;0;2019-01-29 00:00:00.000;NULL;3.1802;3.18;5; ;P0815
CHUPETE SUAVINEX BASIC TET FISIO 0-4 SIL SPE OCC;305668;0;2019-01-29 00:00:00.000;NULL;3.1802;3.18;5; ;P0815
CHUPETE SUAVINEX BASIC TET ANAT 6-18 SILI SP OCC;305670;0;2019-01-29 00:00:00.000;NULL;3.1802;3.18;5; ;P0815
CHUPETE SUAVINEX BASIC TET FISIO 4-18 SILIC SP O;305672;0;2019-05-14 00:00:00.000;NULL;3.18024;3.18;5; ;P0815
BROCHE SUAVINEX CORAZON SPECIAL OCC;305680;0;2019-01-29 00:00:00.000;NULL;3.3393;3.34;5.25; ;P0815
PORTACHUPETES SUAVINEX SP OCC;305682;0;2019-01-29 00:00:00.000;NULL;3.7209;3.72;5.84; ;P0815
BIBERON SUAVINEX WHITE 270ML TET 3 POSICIONES SP;305683;0;2019-01-29 00:00:00.000;NULL;6.05;6.05;9.5; ;P0815
SUAVINEX SET BIBERON CHUPETE BROCHE PORTACHUPETE;305686;0;2019-01-29 00:00:00.000;NULL;14.5635;14.56;22.5; ;P0815
A-DERMA CREMA DERMOPROTECTORA AL EXTO AVENA DUCR;305714;0;2017-02-02 00:00:00.000;NULL;8.0257;8.01;13.95; ;P0147
ADERMA EXOMEGA CUERPO 250 ML;305722;0;2021-02-09 00:00:00.000;NULL;10.36;10.06;15.95; ;P0147
CARIAX GINGIVAL PASTA 125 ML;305771;1;2023-10-10 00:00:00.000;2024-05-01 00:00:00.000;6.20904;6.21;9.5; ;P0309
CARIAX DESENSIB PASTA 125 ML;305789;1;2023-10-03 00:00:00.000;2024-12-01 00:00:00.000;6.61288;6.61;9.95; ;P0309
EMOLIENTA ESPUMA PROTECTORA AEROSOL 75 ML;305839;0;2016-01-27 00:00:00.000;NULL;7.7227;7.72;11.17; ;P0599
SALISES PAN DERMATOLOGICO SIN JABON 100 G;305862;0;2017-09-06 00:00:00.000;NULL;7.2691;7.27;10.5; ;P0526
ARKOCAPSULAS LECITINA DE SOJA 400 MG 84 CAPS;305920;0;2021-01-05 00:00:00.000;NULL;11.5745;11.57;15.81;0001;P1016
URIAGE BARIEDERM UNGÜENTO GRIETAS 40 ML;305939;1;2023-05-31 00:00:00.000;2025-10-01 00:00:00.000;15.7119;15.71;24.75; ;P0390
QUINTON DERMO NATURE 20 ML;305965;0;2016-07-11 00:00:00.000;NULL;5.83;5.83;8.45;0032;P0533
AGUJA DE INSULINA NOVOFINE TIP ETW 32 G (0,23/5;305966;2;2023-11-19 00:00:00.000;NULL;17.45638;17.46;26.95; ;P0078
AGUJA DE INSULINA NOVOFINE AUTOCOVER 30G (0,3 MM;305967;0;2020-06-22 00:00:00.000;NULL;31.71558;31.72;46.32; ;P0078
